date,field,treatment,group,meas,leaf,chl,flav,anth,nbi
2025-07-21,porter,Treatment,1,125,leaf2,52.734,1.217,0.29,43.35
2025-07-21,porter,Treatment,1,118,leaf1,29.278,0.382,0.392,76.67
2025-07-21,porter,Treatment,1,119,leaf2,15.033,1.26,0,11.93
2025-07-21,porter,Treatment,1,122,leaf1,36.35,0.698,0.386,52.09
2025-07-21,porter,Treatment,1,123,leaf2,48.496,0.62,0.334,78.2
2025-07-21,porter,Treatment,1,126,leaf1,35.882,0.606,0.38,59.22
2025-07-21,porter,Treatment,1,127,leaf2,30.391,1.238,0.216,24.55
2025-07-21,porter,Treatment,1,120,leaf1,36.247,0.552,0.363,65.67
2025-07-21,porter,Treatment,1,121,leaf2,50.889,0.882,0.326,57.69
2025-07-21,porter,Treatment,1,128,leaf1,31.85,NA,0.588,NA
2025-07-21,porter,Treatment,1,129,leaf2,21.159,1.434,0.288,14.76
2025-07-21,porter,Treatment,1,130,leaf1,40.606,NA,0.022,NA
2025-07-21,porter,Treatment,1,131,leaf2,45.987,1.183,0.316,38.87
2025-07-21,porter,Treatment,1,73,leaf1,36.769,0.686,0.341,53.58
2025-07-21,porter,Treatment,1,74,leaf2,50.421,0.839,0.334,60.06
2025-07-21,porter,Treatment,1,52,leaf2,46.98,0.478,0.325,98.21
2025-07-21,porter,Treatment,1,51,leaf1,39.286,0.497,0.373,79.05
2025-07-21,porter,Treatment,1,50,leaf2,51.562,1.02,0.296,50.57
2025-07-21,porter,Treatment,1,49,leaf1,37.758,0.264,NA,142.78
2025-07-21,porter,Treatment,1,71,leaf1,38.684,0.45,NA,85.94
2025-07-21,porter,Treatment,1,72,leaf2,49.369,0.557,0.299,88.58
2025-07-21,porter,Treatment,1,53,leaf1,34.022,NA,NA,NA
2025-07-21,porter,Treatment,1,54,leaf2,10.608,NA,NA,NA
2025-07-21,porter,Treatment,1,69,leaf1,31.201,0.396,0.359,78.83
2025-07-21,porter,Treatment,1,70,leaf2,53.412,0.687,0.256,77.77
2025-07-21,porter,Treatment,1,67,leaf1,48.561,0.419,0.324,115.87
2025-07-21,porter,Treatment,1,68,leaf2,48.485,0.951,0.296,50.98
2025-07-21,porter,Treatment,1,57,leaf1,33.4,0.551,0.304,60.61
2025-07-21,porter,Treatment,1,58,leaf2,38.729,1.456,0.285,26.61
2025-07-21,porter,Treatment,1,63,leaf1,28.135,0.28,0.358,100.37
2025-07-21,porter,Treatment,1,64,leaf2,42.875,1.084,0,39.57
2025-07-21,porter,Treatment,1,59,leaf1,35.23,0.351,0.374,100.5
2025-07-21,porter,Treatment,1,60,leaf2,29.215,1.159,0.093,25.21
2025-07-21,porter,Treatment,1,61,leaf1,43.455,0.452,0.324,96.24
2025-07-21,porter,Treatment,1,62,leaf2,49.992,0.931,0.32,53.67
2025-07-21,porter,Treatment,1,55,leaf1,40.834,0.681,0.338,60
2025-07-21,porter,Treatment,1,56,leaf2,44.564,1.121,0.329,39.75
2025-07-21,porter,Treatment,1,65,leaf1,40.951,0.408,0.36,100.25
2025-07-21,porter,Treatment,1,66,leaf2,55.764,0.527,0.139,105.72
2025-07-21,porter,Treatment,1,43,leaf1,42.338,0.491,0.339,86.28
2025-07-21,porter,Treatment,1,44,leaf2,41.153,1.186,0.279,34.7
